userId,movieId,rating,timestamp
1,1,5.0,831035328
1,6,4.0,831035329
1,10,4.5,831035330
1,16,5.0,831035331
1,21,3.5,831035332
2,1,4.5,831035400
2,8,3.0,831035401
2,13,4.0,831035402
2,34,5.0,831035403
3,6,5.0,831035500
3,9,4.0,831035501
3,10,4.0,831035502
3,15,3.0,831035503
3,23,4.5,831035504
4,17,5.0,831035600
4,25,4.5,831035601
4,28,4.0,831035602
4,14,3.5,831035603
5,32,5.0,831035700
5,24,4.0,831035701
5,29,4.5,831035702
5,1,3.0,831035703
6,19,5.0,831035800
6,18,4.0,831035801
6,5,4.5,831035802
6,11,4.0,831035803
7,2,4.0,831035900
7,8,3.5,831035901
7,15,4.0,831035902
8,16,5.0,831036000
8,6,4.5,831036001
8,30,4.0,831036002
8,21,4.0,831036003
9,10,5.0,831036100
9,23,4.0,831036101
9,6,4.5,831036102
10,34,5.0,831036200
10,13,4.5,831036201
10,1,4.0,831036202
11,35,5.0,831036300
11,31,4.5,831036301
11,14,4.0,831036302
11,25,4.5,831036303
12,12,3.0,831036400
12,19,4.5,831036401
12,5,4.0,831036402
13,21,5.0,831036500
13,20,4.0,831036501
13,22,4.5,831036502
13,16,4.0,831036503
14,29,4.5,831036600
14,32,5.0,831036601
14,24,4.0,831036602
15,7,4.0,831036700
15,3,3.5,831036701
15,11,4.5,831036702
16,4,4.0,831036800
16,17,4.5,831036801
16,28,4.0,831036802
17,9,3.5,831036900
17,10,4.0,831036901
17,20,3.0,831036902
18,1,5.0,831037000
18,13,4.5,831037001
18,34,5.0,831037002
18,8,3.5,831037003
19,6,5.0,831037100
19,16,5.0,831037101
19,21,4.0,831037102
19,10,4.5,831037103
20,32,5.0,831037200
20,22,4.0,831037201
20,29,4.5,831037202
21,1,4.0,831037300
21,2,3.5,831037301
21,10,4.0,831037302
21,34,4.5,831037303
22,17,5.0,831037400
22,25,4.5,831037401
22,11,4.0,831037402
23,35,4.5,831037500
23,31,4.0,831037501
23,14,4.0,831037502
24,18,4.0,831037600
24,19,4.5,831037601
24,5,4.0,831037602
25,6,4.5,831037700
25,9,3.5,831037701
25,23,4.0,831037702
25,10,5.0,831037703
26,13,4.0,831037800
26,1,4.5,831037801
26,8,3.0,831037802
27,16,5.0,831037900
27,30,4.0,831037901
27,6,4.5,831037902
28,21,5.0,831038000
28,13,3.5,831038001
28,22,4.5,831038002
29,32,4.5,831038100
29,24,4.0,831038101
29,1,3.5,831038102
30,34,5.0,831038200
30,1,4.5,831038201
30,13,4.5,831038202
31,10,4.5,831038300
31,6,5.0,831038301
31,21,4.0,831038302
32,17,4.5,831038400
32,28,4.0,831038401
32,4,3.5,831038402
33,29,5.0,831038500
33,32,5.0,831038501
33,5,3.0,831038502
34,35,5.0,831038600
34,25,4.5,831038601
34,31,4.0,831038602
35,19,4.5,831038700
35,12,3.0,831038701
35,18,4.0,831038702
36,20,4.0,831038800
36,21,5.0,831038801
36,23,4.0,831038802
37,15,3.5,831038900
37,2,4.0,831038901
37,9,3.5,831038902
38,14,4.0,831039000
38,35,4.5,831039001
38,16,4.5,831039002
39,7,4.5,831039100
39,11,5.0,831039101
39,3,3.5,831039102
40,27,4.0,831039200
40,31,4.5,831039201
40,4,4.0,831039202
